benchmark,run,result
sieve,baseline,missing
sieve,skipfree,1
sieve,skipfree_gc,1
bubblesort,baseline,missing
bubblesort,skipfree,1
bubblesort,skipfree_gc,1
primitive-root,baseline,missing
primitive-root,skipfree,5
primitive-root,skipfree_gc,0
adler32,baseline,missing
adler32,skipfree,1
adler32,skipfree_gc,1
adj2csr,baseline,missing
adj2csr,skipfree,4
adj2csr,skipfree_gc,3
basic,baseline,missing
basic,skipfree,2
basic,skipfree_gc,0
max-subarray,baseline,missing
max-subarray,skipfree,1
max-subarray,skipfree_gc,0
mat-mul,baseline,missing
mat-mul,skipfree,4
mat-mul,skipfree_gc,3
fib,baseline,missing
fib,skipfree,1
fib,skipfree_gc,0
vsmul,baseline,missing
vsmul,skipfree,2
vsmul,skipfree_gc,0
quicksort,baseline,missing
quicksort,skipfree,1
quicksort,skipfree_gc,1
two-sum,baseline,missing
two-sum,skipfree,2
two-sum,skipfree_gc,0
eight-queens,baseline,missing
eight-queens,skipfree,1
eight-queens,skipfree_gc,0
binary-search,baseline,missing
binary-search,skipfree,1
binary-search,skipfree_gc,0
